nohup: ignoring input
extract basic app positions...
extract basic APP categories...
extract app install ratio features...
extract app install number features...
extract creative install num features...
extract user install app number features...
extract creative install ratio features...
extract connectionType position install ratio features...
extract position install ratio features...
extract user_position install ratio features...
extract the num of the user has clicked features from 24000000 to 25000000...
extract user install ratio features...
extract camgaign install ratio features...
extract ad install ratio features...
extract app active hours features...
extract positionID app install ratio features...
extract positionID creative install ratio features...
all samples:   2610941*45
[0]	train-logloss:0.607194	eval-logloss:0.60725
Multiple eval metrics have been passed: 'eval-logloss' will be used for early stopping.

Will train until eval-logloss hasn't improved in 10 rounds.
[295]	train-logloss:0.096968	eval-logloss:0.097565
[296]	train-logloss:0.096962	eval-logloss:0.097558
[297]	train-logloss:0.096961	eval-logloss:0.097557
[298]	train-logloss:0.096958	eval-logloss:0.097556
[299]	train-logloss:0.096951	eval-logloss:0.097549
[300]	train-logloss:0.096948	eval-logloss:0.097546
[301]	train-logloss:0.096941	eval-logloss:0.097537
[302]	train-logloss:0.096938	eval-logloss:0.097534
[303]	train-logloss:0.096928	eval-logloss:0.097523
[304]	train-logloss:0.096925	eval-logloss:0.09752
[305]	train-logloss:0.096918	eval-logloss:0.097513
[306]	train-logloss:0.096916	eval-logloss:0.097511
[307]	train-logloss:0.096911	eval-logloss:0.097507
[308]	train-logloss:0.096904	eval-logloss:0.0975
[309]	train-logloss:0.0969	eval-logloss:0.097495
[310]	train-logloss:0.096895	eval-logloss:0.097489
[311]	train-logloss:0.096893	eval-logloss:0.097487
[312]	train-logloss:0.096892	eval-logloss:0.097485
[313]	train-logloss:0.096891	eval-logloss:0.097484
[314]	train-logloss:0.096877	eval-logloss:0.097468
[315]	train-logloss:0.096869	eval-logloss:0.09746
[316]	train-logloss:0.096858	eval-logloss:0.097449
[317]	train-logloss:0.096854	eval-logloss:0.097443
[318]	train-logloss:0.09685	eval-logloss:0.097439
[319]	train-logloss:0.096847	eval-logloss:0.097438
[320]	train-logloss:0.096845	eval-logloss:0.097436
[321]	train-logloss:0.096842	eval-logloss:0.097434
[322]	train-logloss:0.09684	eval-logloss:0.097433
[323]	train-logloss:0.096838	eval-logloss:0.097431
[324]	train-logloss:0.096829	eval-logloss:0.097424
[325]	train-logloss:0.096824	eval-logloss:0.097419
[326]	train-logloss:0.096819	eval-logloss:0.097414
[327]	train-logloss:0.096813	eval-logloss:0.097408
[328]	train-logloss:0.096803	eval-logloss:0.097397
[329]	train-logloss:0.096798	eval-logloss:0.097393
[330]	train-logloss:0.096793	eval-logloss:0.097387
[331]	train-logloss:0.096789	eval-logloss:0.097384
[332]	train-logloss:0.096786	eval-logloss:0.097382
[333]	train-logloss:0.096786	eval-logloss:0.097382
[334]	train-logloss:0.096783	eval-logloss:0.097377
[335]	train-logloss:0.096782	eval-logloss:0.097376
[336]	train-logloss:0.096773	eval-logloss:0.097369
[337]	train-logloss:0.096772	eval-logloss:0.097368
[338]	train-logloss:0.096764	eval-logloss:0.097359
[339]	train-logloss:0.096761	eval-logloss:0.097356
[340]	train-logloss:0.096758	eval-logloss:0.097353
[341]	train-logloss:0.096755	eval-logloss:0.097351
[342]	train-logloss:0.096752	eval-logloss:0.097347
[343]	train-logloss:0.096749	eval-logloss:0.097344
[344]	train-logloss:0.096744	eval-logloss:0.097341
[345]	train-logloss:0.096743	eval-logloss:0.097337
[346]	train-logloss:0.096737	eval-logloss:0.097332
[347]	train-logloss:0.096732	eval-logloss:0.097326
[348]	train-logloss:0.096724	eval-logloss:0.097317
[349]	train-logloss:0.09672	eval-logloss:0.097314
[350]	train-logloss:0.096716	eval-logloss:0.097309
[351]	train-logloss:0.096712	eval-logloss:0.097304
[352]	train-logloss:0.09671	eval-logloss:0.097303
[353]	train-logloss:0.096709	eval-logloss:0.097302
[354]	train-logloss:0.096705	eval-logloss:0.097297
[355]	train-logloss:0.096698	eval-logloss:0.097291
[356]	train-logloss:0.096692	eval-logloss:0.097287
[357]	train-logloss:0.096688	eval-logloss:0.097281
[358]	train-logloss:0.096684	eval-logloss:0.097278
[359]	train-logloss:0.096679	eval-logloss:0.097273
[360]	train-logloss:0.096676	eval-logloss:0.09727
[361]	train-logloss:0.096672	eval-logloss:0.097267
[362]	train-logloss:0.096668	eval-logloss:0.097264
[363]	train-logloss:0.096662	eval-logloss:0.097257
[364]	train-logloss:0.096659	eval-logloss:0.097253
[365]	train-logloss:0.096654	eval-logloss:0.097249
[366]	train-logloss:0.096644	eval-logloss:0.097239
[367]	train-logloss:0.096639	eval-logloss:0.097233
[368]	train-logloss:0.096638	eval-logloss:0.097232
[369]	train-logloss:0.096635	eval-logloss:0.097228
[370]	train-logloss:0.096631	eval-logloss:0.097222
[371]	train-logloss:0.096627	eval-logloss:0.097217
[372]	train-logloss:0.096622	eval-logloss:0.097214
[373]	train-logloss:0.09662	eval-logloss:0.097211
[374]	train-logloss:0.096616	eval-logloss:0.097208
[375]	train-logloss:0.096612	eval-logloss:0.097205
[376]	train-logloss:0.096608	eval-logloss:0.097201
[377]	train-logloss:0.096603	eval-logloss:0.097197
[378]	train-logloss:0.0966	eval-logloss:0.097194
[379]	train-logloss:0.096596	eval-logloss:0.097189
[380]	train-logloss:0.096592	eval-logloss:0.097185
[381]	train-logloss:0.09659	eval-logloss:0.097182
[382]	train-logloss:0.096587	eval-logloss:0.09718
[383]	train-logloss:0.096583	eval-logloss:0.097175
[384]	train-logloss:0.096569	eval-logloss:0.097163
[385]	train-logloss:0.096567	eval-logloss:0.097161
[386]	train-logloss:0.096564	eval-logloss:0.097157
[387]	train-logloss:0.096563	eval-logloss:0.097156
[388]	train-logloss:0.09656	eval-logloss:0.097153
[389]	train-logloss:0.096556	eval-logloss:0.09715
[390]	train-logloss:0.096548	eval-logloss:0.097143
[391]	train-logloss:0.096544	eval-logloss:0.097141
[392]	train-logloss:0.09654	eval-logloss:0.097137
[393]	train-logloss:0.096535	eval-logloss:0.097131
[394]	train-logloss:0.09653	eval-logloss:0.097126
[395]	train-logloss:0.096528	eval-logloss:0.097124
[396]	train-logloss:0.096525	eval-logloss:0.097119
[397]	train-logloss:0.096519	eval-logloss:0.097114
[398]	train-logloss:0.096515	eval-logloss:0.09711
[399]	train-logloss:0.096513	eval-logloss:0.097107
[400]	train-logloss:0.096509	eval-logloss:0.097103
[401]	train-logloss:0.096501	eval-logloss:0.097096
[402]	train-logloss:0.096498	eval-logloss:0.097091
[403]	train-logloss:0.096496	eval-logloss:0.097088
[404]	train-logloss:0.096496	eval-logloss:0.097088
[405]	train-logloss:0.096492	eval-logloss:0.097083
[406]	train-logloss:0.096488	eval-logloss:0.097078
[407]	train-logloss:0.096487	eval-logloss:0.097076
[408]	train-logloss:0.096485	eval-logloss:0.097073
[409]	train-logloss:0.096481	eval-logloss:0.097069
[410]	train-logloss:0.096474	eval-logloss:0.097063
[411]	train-logloss:0.096471	eval-logloss:0.09706
[412]	train-logloss:0.096466	eval-logloss:0.097055
[413]	train-logloss:0.096464	eval-logloss:0.097052
[414]	train-logloss:0.096458	eval-logloss:0.097046
[415]	train-logloss:0.096456	eval-logloss:0.097044
[416]	train-logloss:0.096455	eval-logloss:0.097042
[417]	train-logloss:0.096452	eval-logloss:0.097039
[418]	train-logloss:0.09645	eval-logloss:0.097038
[419]	train-logloss:0.09645	eval-logloss:0.097037
[420]	train-logloss:0.096449	eval-logloss:0.097036
[421]	train-logloss:0.096445	eval-logloss:0.097032
[422]	train-logloss:0.096442	eval-logloss:0.097026
[423]	train-logloss:0.096435	eval-logloss:0.097017
[424]	train-logloss:0.096433	eval-logloss:0.097015
[425]	train-logloss:0.096429	eval-logloss:0.097011
[426]	train-logloss:0.096426	eval-logloss:0.097009
[427]	train-logloss:0.096421	eval-logloss:0.097004
[428]	train-logloss:0.096418	eval-logloss:0.097001
[429]	train-logloss:0.096414	eval-logloss:0.096997
[430]	train-logloss:0.09641	eval-logloss:0.096994
[431]	train-logloss:0.096403	eval-logloss:0.096988
[432]	train-logloss:0.096399	eval-logloss:0.096984
[433]	train-logloss:0.096397	eval-logloss:0.096982
[434]	train-logloss:0.096396	eval-logloss:0.096981
[435]	train-logloss:0.096389	eval-logloss:0.096971
[436]	train-logloss:0.096387	eval-logloss:0.096968
[437]	train-logloss:0.096383	eval-logloss:0.096965
[438]	train-logloss:0.09638	eval-logloss:0.096962
[439]	train-logloss:0.096375	eval-logloss:0.096959
[440]	train-logloss:0.096372	eval-logloss:0.096956
[441]	train-logloss:0.096371	eval-logloss:0.096954
[442]	train-logloss:0.096368	eval-logloss:0.096952
[443]	train-logloss:0.096364	eval-logloss:0.096948
[444]	train-logloss:0.096358	eval-logloss:0.096941
[445]	train-logloss:0.096349	eval-logloss:0.096934
[446]	train-logloss:0.096349	eval-logloss:0.096933
[447]	train-logloss:0.096345	eval-logloss:0.096929
[448]	train-logloss:0.09634	eval-logloss:0.096925
[449]	train-logloss:0.096334	eval-logloss:0.096919
[450]	train-logloss:0.096326	eval-logloss:0.096911
[451]	train-logloss:0.09632	eval-logloss:0.096905
[452]	train-logloss:0.096315	eval-logloss:0.096901
[453]	train-logloss:0.096313	eval-logloss:0.096898
[454]	train-logloss:0.096309	eval-logloss:0.096893
[455]	train-logloss:0.096306	eval-logloss:0.096891
[456]	train-logloss:0.096303	eval-logloss:0.096889
[457]	train-logloss:0.096299	eval-logloss:0.096884
[458]	train-logloss:0.096295	eval-logloss:0.09688
[459]	train-logloss:0.096293	eval-logloss:0.096878
[460]	train-logloss:0.096288	eval-logloss:0.096871
[461]	train-logloss:0.096285	eval-logloss:0.096868
[462]	train-logloss:0.096281	eval-logloss:0.096863
[463]	train-logloss:0.096279	eval-logloss:0.096861
[464]	train-logloss:0.096276	eval-logloss:0.096859
[465]	train-logloss:0.096274	eval-logloss:0.096855
[466]	train-logloss:0.096271	eval-logloss:0.096852
[467]	train-logloss:0.096271	eval-logloss:0.096852
[468]	train-logloss:0.096269	eval-logloss:0.096849
[469]	train-logloss:0.096268	eval-logloss:0.096848
[470]	train-logloss:0.096265	eval-logloss:0.096846
[471]	train-logloss:0.096262	eval-logloss:0.096842
[472]	train-logloss:0.096259	eval-logloss:0.096839
[473]	train-logloss:0.096256	eval-logloss:0.096837
[474]	train-logloss:0.096253	eval-logloss:0.096833
[475]	train-logloss:0.096249	eval-logloss:0.096828
[476]	train-logloss:0.096247	eval-logloss:0.096825
[477]	train-logloss:0.096241	eval-logloss:0.09682
[478]	train-logloss:0.096236	eval-logloss:0.096813
[479]	train-logloss:0.096233	eval-logloss:0.096809
[480]	train-logloss:0.096231	eval-logloss:0.096808
[481]	train-logloss:0.096219	eval-logloss:0.096796
[482]	train-logloss:0.096216	eval-logloss:0.096793
[483]	train-logloss:0.096211	eval-logloss:0.096789
[484]	train-logloss:0.096207	eval-logloss:0.096785
